Room,Level,Building,Colour Code,Room Name,Function,Owner | Booker,Usage Notes / Specialist notes,Capacity,Image,Movable Furniture?,House PC,BYOD Connection(s),BYOD Non-standard connections,Main Display,Secondary Display,Podium monitor,Camera,Microphone,Document Cam (Visulizer),Conference Phone,Last Upgraded,Upgrade Due,Upgrade Priority,Door Signage,Comments,Task Assigned to,Modified,Modified By
IC219,2,ICRGU,Purple,Meeting Room,Meeting,ITS/DELTA,,12,,Y,Yes,HDMI & VGA,,Screen,,,WebCam,WebCam & boundary,,Cisco 7937,,,,,,,2023-05-30T11:18:59Z,l.mitchell36@rgu.ac.uk
IC220,2,ICRGU,Yellow,Meeting Room,Meeting,ITS/DELTA,,4,,Y,Yes,HDMI,,Screen,,Standard monitor,WebCam,WebCam,,Cisco 8831,,,,,,,2023-07-17T10:59:07Z,l.mitchell36@rgu.ac.uk
Main Atrium,3,SIWB,,,,,,,https://www.barbourproductsearch.info/GordonsUni1IMAGE-file065972.jpg,,,,,,,,,,,,,,,,,,,
N105,1,SIWB,Yellow,Yellow Teaching Room,Teaching,,,31,,Y,Yes,HDMI,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:08Z,l.mitchell36@rgu.ac.uk
N106,1,SIWB,Yellow,Yellow Teaching Room,Teaching,,,33,,Y,Yes,HDMI,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:09Z,l.mitchell36@rgu.ac.uk
N107,1,SIWB,Yellow,Yellow Teaching Room,Teaching,,,32,,Y,Yes,HDMI,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:10Z,l.mitchell36@rgu.ac.uk
N108,1,SIWB,Yellow,Yellow Teaching Room,Teaching,,,31,,Y,Yes,HDMI,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:10Z,l.mitchell36@rgu.ac.uk
N117,1,SIWB,Yellow,Yellow Lecture Theatre,Teaching ,,,100,,,Yes,HDMI,,Projector,Interactive monitor,Standard monitor,IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:59:11Z,l.mitchell36@rgu.ac.uk
N118,1,SIWB,Yellow,Yellow Lecture Theatre,Teaching ,,,80,,,Yes,HDMI,,Projector,Interactive monitor,Standard monitor,IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:59:12Z,l.mitchell36@rgu.ac.uk
N122,1,SIWB,Specialist,Biomedical Lab,Specialist lab,ENG,,4,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N123,1,SIWB,Specialist,Raman UV Laser ,Specialist lab,ENG,,4,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N124,1,SIWB,Specialist,Photocatalysis Lab ,Specialist lab,ENG,,3,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N125,1,SIWB,Specialist,Diode Laser Lab,Specialist lab,ENG,,4,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N126,1,SIWB,Specialist,Wet Chemistry Lab,Specialist lab,ENG,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N127,1,SIWB,Specialist,OPO Laser Lab,Specialist lab,ENG,,4,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N128,1,SIWB,Specialist,Environmental Analysis Lab,Specialist lab,ENG,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N204,2,SIWB,Yellow,Conference Suite,Meeting,,(Yellow Room) Standard signage ,30,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary & lapel,,,,,,,,,2023-07-17T10:59:14Z,l.mitchell36@rgu.ac.uk
N219,2,SIWB,,Costa Coffee,Food & Drink,,,,,,,,,,,,,,,,,,,,,,,
N221,2,SIWB,,Jamie Oliver's Deli,Food & Drink,,,,,,,,,,,,,,,,,,,,,,,
N237,2,SIWB,,POCO Roast Coffee,Food & Drink,,,,,,,,,,,,,,,,,,,,,,,
N228,2,SIWB,Specialist,DART,Specialist Activities,ENG,(Yellow),16,,,Yes,HDMI & VGA,,Projector,,,IP,USB Boundary,SDC-330,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N240,2,SIWB,NA,Back Atrium,Atrium,,Standard signage - bookable for teaching/assessments,50,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:19:22Z,l.mitchell36@rgu.ac.uk
N242,2,SIWB,Yellow,Yellow Lecture Theatre,Teaching ,,,175,,,Yes,HDMI & VGA,,Projector,Interactive monitor,Standard monitor,IP,Boundary & lapel,SDC-330,,,Summer 2023,High,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:14Z,l.mitchell36@rgu.ac.uk
N247,2,SIWB,Yellow,Meeting Room,Meeting,Estates,,4,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & boundary,,Cisco 8831,,Summer 2023,Low,Updating,Remaining Yellow,r.pearce@rgu.ac.uk,2023-07-17T10:59:15Z,l.mitchell36@rgu.ac.uk
N249,2,SIWB,Specialist,Engineering Lab,Specialist lab,ENG,,121,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N249a,2,SIWB,Specialist,Welding Lab,Specialist lab,ENG,,13,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N249g,2,SIWB,Specialist,Workshop,Specialist Activities,ENG,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N252,2,SIWB,Specialist,Petroleum Engineering Lab,Specialist lab,ENG,UG Projects,7,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
N253,2,SIWB,Yellow,Yellow IT Lab,IT Lab (School),ENG,,53,,,Yes,HDMI & VGA,,Projector,Projector x2,Standard monitor,IP,Boundary,,,,Summer 2023,High,Updating,Upgrade to Purple,r.pearce@rgu.ac.uk,2023-07-17T10:59:15Z,l.mitchell36@rgu.ac.uk
N303,3,SIWB,NA,Amphitheatre,Amphitheatre,,Standard signage - bookable for teaching/assessments,165,,,Yes,Clickshare & HDMI,,Projector,,,Not Required,Lapel & stick,,,,,,,,,2023-05-30T11:19:25Z,l.mitchell36@rgu.ac.uk
N309,3,SIWB,Blue,Blue Teaching Room,Teaching,,,84,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Touchscreen monitor (podium),IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:57:23Z,l.mitchell36@rgu.ac.uk
N310,3,SIWB,Blue,Blue Teaching Room,Teaching,,,40,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:57:24Z,l.mitchell36@rgu.ac.uk
N311,3,SIWB,Blue,Blue Teaching Room,Teaching,,,61,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Touchscreen monitor (podium),IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:57:25Z,l.mitchell36@rgu.ac.uk
N317,3,SIWB,Yellow,Yellow Teaching Room,Teaching,,,20,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,Summer 2023,Medium,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:18Z,l.mitchell36@rgu.ac.uk
N318,3,SIWB,Yellow,Electrical Power Teaching Lab,Specialist lab,ENG,,24,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,,,,,,,,,2023-07-17T10:59:19Z,l.mitchell36@rgu.ac.uk
N325,3,SIWB,Yellow,Flexible Learning Lab,Specialist lab,ENG,,60,,,Yes,HDMI,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:20Z,l.mitchell36@rgu.ac.uk
N327,3,SIWB,Specialist,Teams Lab,Specialist Activities,ENG,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N328a,3,SIWB,Yellow,PCB Manufacture Lab,Specialist lab,ENG,,,,,Yes,HDMI & VGA,,Projector,,Standard monitor,Not Required,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:21Z,l.mitchell36@rgu.ac.uk
N328b,3,SIWB,Yellow,PCB Manufacture Lab,Specialist lab,ENG,,,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:21Z,l.mitchell36@rgu.ac.uk
N329,3,SIWB,Purple,Meeting Room,Meeting (School),SOC,(Purple) standard signage,14,,,Yes,HDMI,,Touchscreen,,,USB,Boundary & lapel,,,,,,,,,2023-05-30T11:18:59Z,l.mitchell36@rgu.ac.uk
N331,3,SIWB,Blue,Blue IT Lab,IT Lab (School),ENG,,52,,,Yes,HDMI & VGA,,Projector,Projector,Touchscreen monitor (podium),IP,Boundary,,,,,,,,,2023-07-17T10:57:26Z,l.mitchell36@rgu.ac.uk
N332,3,SIWB,Yellow,Meeting Room,Meeting (School),SOC,,8,,Y,N/A,,,,,Standard monitor,USB,,,,,,,,,,2023-07-17T10:59:22Z,l.mitchell36@rgu.ac.uk
N336,3,SIWB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,20,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,,Cisco 7937,,Summer 2023,Medium,Correct,Remaining Yellow,r.pearce@rgu.ac.uk,2023-07-17T10:59:23Z,l.mitchell36@rgu.ac.uk
N339,3,SIWB,Yellow,Yellow IT Lab,IT Lab,,PC Lab,26,,Y,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,IP,Boundary,,,,Summer 2023,Medium,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:24Z,l.mitchell36@rgu.ac.uk
N340,3,SIWB,Yellow,Yellow IT Lab,IT Lab,,PC Lab,50,,Y,Yes,HDMI & VGA,,Projector,Projector x3,Standard monitor,IP,Boundary,,,,Summer 2023,Medium,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:25Z,l.mitchell36@rgu.ac.uk
N341,3,SIWB,Yellow,Yellow IT Lab,IT Lab,,PC Lab,50,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Standard monitor,IP,Boundary,,,,Summer 2023,Medium,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:27Z,l.mitchell36@rgu.ac.uk
N342,3,SIWB,Yellow,Innovation Station,Seminar,EIG,(Yellow),60,,,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,webCam,Lapel,SDC-330,,,,,,,,2023-07-17T10:59:27Z,l.mitchell36@rgu.ac.uk
N344,3,SIWB,Yellow,Yellow Teaching Room,Teaching,,,67,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary & lapel,SDC-330,,,,,,,,2023-07-17T10:59:28Z,l.mitchell36@rgu.ac.uk
N345,3,SIWB,Yellow,Yellow Teaching Room,Teaching,,,60,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-330,,,,,,,,2023-07-17T10:59:28Z,l.mitchell36@rgu.ac.uk
N346,3,SIWB,Yellow,Meeting Room,Meeting,,(Yellow Room) standard signage,20,,,Yes,HDMI & VGA,,Projector,,Standard monitor,Webcam,Lapel,,Cisco 7937,,Summer 2023,Low,Correct,Remaining Yellow,r.pearce@rgu.ac.uk,2023-07-17T10:59:29Z,l.mitchell36@rgu.ac.uk
N402,4,SIWB,Yellow,Composite & Dynamics Control Teaching Lab,IT Lab (School),ENG,,14,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,,,,,,,,,,2023-07-17T10:59:30Z,l.mitchell36@rgu.ac.uk
N403,4,SIWB,Purple,Purple IT Lab,IT Lab (School),ENG,,20,,Y,Yes,HDMI & VGA,,Projector,Projector,,IP,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:59Z,l.mitchell36@rgu.ac.uk
N405,4,SIWB,Yellow,Processing & Membranes Lab,Specialist Lab,ENG,,24,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,,,,,,,,,2023-07-17T10:59:31Z,l.mitchell36@rgu.ac.uk
N407,4,SIWB,Specialist,Robotics Lab,IT Lab (School),ENG,(Yellow),20,,,Yes,HDMI & VGA,,Projector,Interactive monitor,,IP,Lapel,SDC-330,,,Summer 2023,Medium,,Room Name Change - new signage needed - not yet actioned,r.pearce@rgu.ac.uk,2023-06-06T15:51:50Z,l.mitchell36@rgu.ac.uk
N410,4,SIWB,Specialist,Engineering Teaching,Teaching (School),ENG,(Yellow),20,,Y,Yes,HDMI & VGA,,Projector,Interactive monitor,,IP,Lapel,SDC-330,,,Summer 2023,Medium,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:52Z,l.mitchell36@rgu.ac.uk
N411,4,SIWB,Specialist,Engineering Teaching,Teaching (School),ENG,(Yellow),20,,Y,Yes,HDMI,,Projector,,,IP,Lapel,SDC-330,,,Summer 2023,Medium,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:53Z,l.mitchell36@rgu.ac.uk
N413,4,SIWB,Specialist,Materials NDT Lab,Specialist Lab,ENG,,3,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N414,4,SIWB,Specialist,EE Project Lab,Specialist Lab,ENG,(Purple) ,20,,,Yes,HDMI,,Projector,,,IP,Lapel,SDC-330,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N415,4,SIWB,Specialist,Materials Lab,Specialist Lab,ENG,,17,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N416,4,SIWB,Specialist,Electronics Teaching Lab,IT Lab (School),ENG,(Blue) ,35,,,Yes,HDMI & VGA,,Projector,Projector,,IP,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N419,4,SIWB,Specialist,Microcontroller Lab,IT Lab (School),ENG,(Blue),32,,,Yes,HDMI & VGA,,Projector,Projector,,IP,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N424,4,SIWB,Specialist,CISCO Lab,Specialist Lab,ENG,,36,,,Yes,HDMI & VGA,,Projector,Projector,,WebCam,WebCam & boundary,SDC-330,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N440,4,SIWB,Yellow,Meeting Room,Meeting,SOC,,6,,,N/A,,,,,Standard monitor,,,,,,,,,,,2023-07-17T10:59:32Z,l.mitchell36@rgu.ac.uk
N442,4,SIWB,Yellow,Meeting Room,Meeting (School),ENG,(Yellow),4,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam,,Cisco 7937,,,,,,,2023-07-17T10:59:34Z,l.mitchell36@rgu.ac.uk
N443,4,SIWB,Yellow,Meeting Room,Meeting (School),ENG,(Yellow),3,,,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,Webcam & boundary,,,,,,,,,2023-07-17T10:59:35Z,l.mitchell36@rgu.ac.uk
N445,4,SIWB,Yellow,Meeting Room,Meeting (School),ENG,(Yellow),11,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,Webcam,Lapel,,,,,,,,,2023-07-17T10:59:36Z,l.mitchell36@rgu.ac.uk
N447c,4,SIWB,Yellow,Meeting Room,Meeting (School),ENG,(Yellow),6,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam,,,,,,,,,2023-07-17T10:59:36Z,l.mitchell36@rgu.ac.uk
N455,4,SIWB,Yellow,Meeting Room,Meeting (School),ENG,(Yellow),3,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam,,,,,,,,,2023-07-17T10:59:37Z,l.mitchell36@rgu.ac.uk
N501,5,SIWB,Specialist,Pharmacy Simulation Centre,Specialist Lab,PALS,(Yellow),35,,Y,Yes,HDMI & VGA,,Screen,Screen x5,,Not Required,Lapel,,,,Summer 2023,Medium,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:54Z,l.mitchell36@rgu.ac.uk
N501a,5,SIWB,Specialist,Pharmacy Simulation Centre,Specialist Lab,PALS,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:41Z,l.mitchell36@rgu.ac.uk
N502,5,SIWB,Specialist,Pharmaceutics Lab,Specialist Lab,PALS,(Green),70,,,Yes,HDMI & VGA,,Screen,Screen x8,,Not Required,Lapel,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N502a,5,SIWB,Specialist,Tabletting Suite,Specialist Lab,PALS,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N508,5,SIWB,Specialist,Biomedical Science Lab,Specialist Lab,PALS,(Yellow),70,,,Yes,HDMI & VGA,,Screen,Screen x13,,Not Required,Lapel,SDC-330,,,Summer 2023,Medium,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:55Z,l.mitchell36@rgu.ac.uk
N512,5,SIWB,Specialist,DNA Analysis Lab,Specialist Lab,PALS,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N515,5,SIWB,Specialist,Forensic Imaging Lab,Specialist Lab,PALS,(Green),24,,,BYOD,HDMI & VGA,,Screen,,,Not Required,,,,,,,,,,2023-06-06T14:55:03Z,l.mitchell36@rgu.ac.uk
N515a,5,SIWB,Specialist,SEM Lab,Specialist Lab,PALS,,6,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N515b,5,SIWB,Specialist,Forensics Imaging Dark Room,Specialist Lab,PALS,,2,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N519/N523,5,SIWB,Specialist,Spec IT Lab,IT Lab (School),SOC,(Green) School only use,36,,,Yes,HDMI & VGA,,Projector,Screen,,IP,Lapel,SDC-330,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N525,5,SIWB,Specialist,Project IT Lab,IT Lab (School),SOC,,30,https://www.rgu.ac.uk/images/stories/flexicontent/mediaman/s_Apple-Mac-Lab1201-ZF-9537-66107-1-005.jpg,,Mac,HDMI & VGA,,Projector,,,IP,Lapel,SDC-330,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N526,5,SIWB,Specialist,Usability Lab,IT Lab (School),SOC,,8,,,N/A,,,,,,Not required,,,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N527,5,SIWB,Specialist,CAD IT Lab,IT Lab (School),SOC,(Yellow),30,,,Yes,HDMI & VGA,,Projector,,,USB,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:42Z,l.mitchell36@rgu.ac.uk
N528,5,SIWB,Specialist,Post Graduate Computing Lab,IT Lab (School),SOC,(Yellow),30,,,Yes,HDMI,,Projector,,,IP,Boundary & lapel,SDC-330,,,,,,,,2023-05-30T11:18:43Z,l.mitchell36@rgu.ac.uk
N529,5,SIWB,Specialist,Post Graduate Computing Lab,IT Lab (School),SOC,(Yellow),30,,,Yes,HDMI,,Projector,,,IP,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:43Z,l.mitchell36@rgu.ac.uk
N530,5,SIWB,Specialist,Multimedia Computer Lab,IT Lab (School),SOC,(Yellow) 50 PCS,50,,,Yes,HDMI & VGA,,Projector,Projector,,IP,Boundary,SDC-330,,,,,,,,2023-05-30T11:18:43Z,l.mitchell36@rgu.ac.uk
N533,5,SIWB,Specialist,Foundation Year Computer Lab,IT Lab (School),SOC,(Yellow) 116 PCS,116,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.XtD6uHN9XALt5vz7A2ooZAHaE8%26pid%3DApi&f=1&ipt=0e7ab27e7c71508ada75b4d37ee3f0ba27baee76f31092f558d74de993a7a76e&ipo=images,Y,Yes,HDMI & VGA,,Projector,Projector x4 & Screen x2,,IP,Lapel,SDC-330,,,Summer 2023,Medium,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:56Z,l.mitchell36@rgu.ac.uk
N533a,5,SIWB,Specialist,Booth,Specialist Activities,SOC,Booth within Video Lab,2,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N537,5,SIWB,Yellow,Video Call Room,Teaching ,GS,(Yellow) standard signage,12,,,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & boundary,,Cisco 7937,,,,,ADD TO CELCAT,,2023-07-17T10:59:38Z,l.mitchell36@rgu.ac.uk
N548c,5,SIWB,Yellow,Meeting Room,Meeting (School),PALS,,3,,Y,N/A,,,,,Standard monitor,,,,,,,,,,,2023-07-17T10:59:39Z,l.mitchell36@rgu.ac.uk
N548u,5,SIWB,Yellow,Meeting Room,Meeting (School),PALS,(Yellow) standard signage,4,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,WebCam,WebCam & boundary,,Cisco 7937,,,,,ADD TO CELCAT,,2023-07-17T10:59:40Z,l.mitchell36@rgu.ac.uk
N550a,5,SIWB,White,Meeting Room,Meeting (School),Library,,3,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:15Z,l.mitchell36@rgu.ac.uk
N550d,5,SIWB,Purple,Meeting Room,Meeting (School),Library,,20,,Y,Yes,HDMI & VGA,,Projector,,,Not Required,Boundary,,,,,,,ADD TO CELCAT,,2023-05-30T11:19:02Z,l.mitchell36@rgu.ac.uk
N601,6,SIWB,Specialist,Analytical Chemistry Lab,Specialist Lab,PALS,,70,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N602,6,SIWB,Specialist,Biomedical Science Lab,Specialist Lab,PALS,(Yellow),70,,,Yes,HDMI & VGA,,Screen,Screen x3,,Not Required,Lapel,SDC-330,,,Summer 2023,Low,Correct,,r.pearce@rgu.ac.uk,2023-06-06T15:51:56Z,l.mitchell36@rgu.ac.uk
N604/N607,6,SIWB,Specialist,Chemistry Lab,Specialist Lab,PALS,(Yellow),70,,,Yes,HDMI & VGA,,Screen,Screen x6,,Not Required,Lapel,SDC-330,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N612,6,SIWB,Specialist,Food Handling Lab,Specialist Lab,PALS,(Green),24,,,BYOD,HDMI & VGA,,Projector,,,Not Required,,,,,,,,,,2023-06-06T14:55:04Z,l.mitchell36@rgu.ac.uk
N613,6,SIWB,Specialist,Cell Culture / Sterile Products Suite,Specialist Lab,PALS,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N616,6,SIWB,Specialist,Synthetic Medicinal Chemical Research Lab,Specialist Lab,PALS,,3,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N619,6,SIWB,Specialist,Analytical Chemistry Research Lab,Specialist Lab,PALS,,2,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N634,6,SIWB,Specialist,Cell Culture Lab,Specialist Lab,PALS,,2,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
N900a,9,SIWB,Purple,Group Work Space,Teaching (School),Library,,6,,,N/A,,,,,,,,,,,,,,ADD TO CELCAT,,2023-05-30T11:19:02Z,l.mitchell36@rgu.ac.uk
N900d,9,SIWB,Purple,Group Work Space,Teaching (School),Library,,4,,,Yes,HDMI & Clevershare,,Touchscreen,,,Webcam,,,,,,,,(PC built into screen),,2023-05-30T11:19:02Z,l.mitchell36@rgu.ac.uk
NS107,1,SIWB,Specialist,Environmental Lab,Specialist Lab,SSS,(Green Room),,,,BYOD,,,,,,,,,,,,,,,,2023-06-06T14:55:05Z,l.mitchell36@rgu.ac.uk
NS115,1,SIWB,Yellow,Yellow IT Lab,IT Lab (School),SSS,Architecture IT Lab,50,,,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,WebCam,WebCam,SDC-450,,,,,,,,2023-07-17T10:59:41Z,l.mitchell36@rgu.ac.uk
NS125,1,SIWB,Specialist,Workshop,Workshop,SSS,Workshop / Construction area,15,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:39Z,l.mitchell36@rgu.ac.uk
NS208,2,SIWB,Yellow,Studio (Architecture 5-6),Teaching (School),SSS,Stage 5-6,72,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Standard monitor,WebCam,WebCam & Lapel,SDC-450,,,,,,,,2023-07-17T10:59:42Z,l.mitchell36@rgu.ac.uk
NS311a/b,3,SIWB,Yellow,Meeting Room,Meeting,SSS,(Yellow Room) standard signage,16,,Y,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,Webcam x2,,,Cisco 8831,,,,,,,2023-07-17T10:59:43Z,l.mitchell36@rgu.ac.uk
NS324,3,SIWB,Blue,Studio,Teaching (School),SSS,,30,,Y,Yes,HDMI & VGA,,Projector,Projector,Touchscreen monitor (podium),WebCam,WebCam & Lapel,SDC-450,,,,,,colour check - school things should be blue,,2023-07-17T10:57:26Z,l.mitchell36@rgu.ac.uk
NS325,3,SIWB,Yellow,Post Graduate Studio,Teaching (School),SSS,Post Graduate Base,21,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,WebCam,WebCam & Lapel,SDC-450,,,,,,,,2023-07-17T10:59:43Z,l.mitchell36@rgu.ac.uk
NS326,3,SIWB,Yellow,Studio,Teaching (School),SSS,,34,,Y,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,WebCam,WebCam & Lapel,SDC-450,,,,,,,,2023-07-17T10:59:44Z,l.mitchell36@rgu.ac.uk
NS401,4,SIWB,Blue,Studio (Architecture 1-4),Teaching (School),SSS,Stage 1-4,115,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Touchscreen monitor (podium),WebCam x2,WebCam & Lapel,SDC-450,,,,,,colour check - school things should be blue,,2023-07-17T10:57:28Z,l.mitchell36@rgu.ac.uk
NS402,4,SIWB,Blue,IT Suite,IT Lab (School),SSS,Groupwork / independent study,10,,,Yes,,,,,Touchscreen monitor (podium),,,,,,,,,colour check - school things should be blue,,2023-07-17T10:57:29Z,l.mitchell36@rgu.ac.uk
NS411,4,SIWB,Yellow,Yellow Seminar Room,Teaching (School),SSS,,12,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,WebCam,WebCam,SDC-450,,,,,,,,2023-07-17T10:59:45Z,l.mitchell36@rgu.ac.uk
NS501,5,SIWB,Blue,Studio (Architecture 1-3),Teaching (School),SSS,Stage 1-3,140,,Y,Yes,HDMI & VGA,,Projector,Projector x2,Touchscreen monitor (podium),WebCam x2,WebCam & Lapel,SDC-450,,,,,,colour check - school things should be blue,,2023-07-17T10:57:29Z,l.mitchell36@rgu.ac.uk
NS502,5,SIWB,Yellow,Yellow IT Suite,IT Lab (School),SSS,Groupwork / independent study / 16 PCS,16,,,Yes,,,,,Standard monitor,,,,,,,,,,,2023-07-17T10:59:46Z,l.mitchell36@rgu.ac.uk
